PosProb 0.5
NegProb 0.5
pos pengarna 1.1058766284033353e-05
pos returning 9.39995134142835e-05
pos axcess 1.1058766284033353e-05
pos costs 1.1058766284033353e-05
pos garden 0.000751996107314268
pos capable 1.1058766284033353e-05
pos laminate 1.1058766284033353e-05
pos stupidily 1.1058766284033353e-05
pos person 0.00011611704598235021
pos retaining 1.1058766284033353e-05
pos tablet 1.1058766284033353e-05
pos were 0.011550881383672837
pos specific 2.7646915710083382e-05
pos foot 8.294074713025015e-05
pos personally 3.317629885210006e-05
pos most 0.0005971733793378011
pos shutting 1.1058766284033353e-05
pos gr 1.1058766284033353e-05
pos option 7.18819808462168e-05
pos lead 2.2117532568066706e-05
pos wednesday 1.1058766284033353e-05
pos leading 1.1058766284033353e-05
pos wc 1.658814942605003e-05
pos carryons 1.1058766284033353e-05
pos scottish 1.1058766284033353e-05
pos martket 1.1058766284033353e-05
pos file 1.1058766284033353e-05
pos panels 1.658814942605003e-05
pos keen 4.976444827815009e-05
pos universally 1.1058766284033353e-05
pos resolved 2.7646915710083382e-05
pos trip 0.0003649392873731007
pos best 0.0008736425364386349
pos card 0.00030411607281091723
pos waitrose 2.2117532568066706e-05
pos sale 1.1058766284033353e-05
pos bonus 0.0002819985402428505
pos haply 1.1058766284033353e-05
pos cared 2.2117532568066706e-05
pos natt 1.1058766284033353e-05
pos lilly 3.8705681994116735e-05
pos medium 1.1058766284033353e-05
pos attractive 8.294074713025015e-05
pos lug 1.1058766284033353e-05
pos somewhat 2.2117532568066706e-05
pos begging 1.1058766284033353e-05
pos connoisseur 1.1058766284033353e-05
pos pancras 0.00012164642912436688
pos centeraly 1.1058766284033353e-05
pos trevelling 1.1058766284033353e-05
pos opinnion 1.1058766284033353e-05
pos envy 1.1058766284033353e-05
pos add 1.1058766284033353e-05
pos come 0.00034282175480503395
pos opera 2.2117532568066706e-05
pos name 0.00011611704598235021
pos duke 1.1058766284033353e-05
pos large 0.0007851724061663681
pos washing 1.658814942605003e-05
pos movies 3.317629885210006e-05
pos almost 0.0001382345785504169
pos anymore 1.658814942605003e-05
pos tub 8.294074713025015e-05
pos bothh 1.1058766284033353e-05
pos kept 0.00022117532568066706
pos ports 1.1058766284033353e-05
pos amongst 1.658814942605003e-05
pos manageable 1.1058766284033353e-05
pos situation 8.847013027226682e-05
pos walker 1.1058766284033353e-05
pos markets 2.2117532568066706e-05
pos embassies 1.1058766284033353e-05
pos elsewhere 2.2117532568066706e-05
pos stopped 2.7646915710083382e-05
pos touching 1.1058766284033353e-05
pos moments 1.1058766284033353e-05
pos grocer 1.1058766284033353e-05
pos orthopaedic 1.1058766284033353e-05
pos start 0.00016035211111848364
pos riph 1.1058766284033353e-05
pos beautyful 1.1058766284033353e-05
pos coming 0.00012717581226638356
pos relating 1.1058766284033353e-05
pos adequately 1.1058766284033353e-05
pos apart 5.5293831420166764e-05
pos coolest 1.1058766284033353e-05
pos weren 8.294074713025015e-05
pos cots 1.1058766284033353e-05
pos rms 1.1058766284033353e-05
pos lifesaver 1.1058766284033353e-05
pos rough 1.658814942605003e-05
pos evening 0.00024882224139075043
pos mit 1.1058766284033353e-05
pos control 1.658814942605003e-05
pos preauthoriz 1.658814942605003e-05
pos groomed 1.1058766284033353e-05
pos contemporary 3.8705681994116735e-05
pos dame 8.294074713025015e-05
pos dealing 1.658814942605003e-05
pos property 0.0003262336053789839
pos thermos 1.1058766284033353e-05
pos georgeous 1.1058766284033353e-05
pos timetables 1.1058766284033353e-05
pos friendless 1.1058766284033353e-05
pos dracula 1.1058766284033353e-05
pos imagined 1.1058766284033353e-05
pos inefficient 1.658814942605003e-05
pos considerate 2.7646915710083382e-05
pos agnelo 1.1058766284033353e-05
pos helpful 0.008880189326078782
pos croissants 4.423506513613341e-05
pos carpeted 1.1058766284033353e-05
pos media 1.1058766284033353e-05
pos feet 3.317629885210006e-05
pos shampoo 4.976444827815009e-05
pos etoile 1.658814942605003e-05
pos awful 1.658814942605003e-05
pos victorian 0.0001658814942605003
pos then 0.00019352840997058368
pos emerging 1.1058766284033353e-05
pos ultimately 1.1058766284033353e-05
pos accessibility 2.2117532568066706e-05
pos duvets 2.2117532568066706e-05
pos intrusive 1.658814942605003e-05
pos ya 1.1058766284033353e-05
pos rde 1.1058766284033353e-05
pos bowls 2.2117532568066706e-05
pos appropriately 1.658814942605003e-05
pos exceptional 0.00020458717625461705
pos chain 8.294074713025015e-05
pos ideally 6.635259770420012e-05
pos princess 1.658814942605003e-05
pos us 0.002499281180191538
pos time 0.0010561121801251853
pos elegise 1.1058766284033353e-05
pos immaculate 0.00011058766284033353
pos themoney 1.1058766284033353e-05
pos ann 2.2117532568066706e-05
pos ideas 1.658814942605003e-05
pos too 0.0012109349081016521
pos national 3.8705681994116735e-05
pos address 2.7646915710083382e-05
pos detail 0.00011611704598235021
pos persia 1.1058766284033353e-05
pos way 0.0006082321456218345
pos helpfullness 1.1058766284033353e-05
pos liking 1.658814942605003e-05
pos margherita 1.1058766284033353e-05
pos locatio 1.1058766284033353e-05
pos sustaining 1.1058766284033353e-05
pos closets 1.1058766284033353e-05
pos season 1.1058766284033353e-05
pos styled 1.1058766284033353e-05
pos claustrophobic 1.658814942605003e-05
pos glass 0.00012164642912436688
pos cloak 1.1058766284033353e-05
pos cooler 1.658814942605003e-05
pos regulars 1.1058766284033353e-05
pos commendable 1.1058766284033353e-05
pos fix 3.8705681994116735e-05
pos sooo 2.2117532568066706e-05
pos mirrors 1.658814942605003e-05
pos skirting 1.1058766284033353e-05
pos ropes 1.1058766284033353e-05
pos monoprix 1.1058766284033353e-05
pos rack 1.1058766284033353e-05
pos happened 2.7646915710083382e-05
pos lengthy 1.1058766284033353e-05
pos spaciious 1.1058766284033353e-05
pos steep 1.1058766284033353e-05
pos mall 1.658814942605003e-05
pos sofa 0.00013270519540840023
pos gerry 1.1058766284033353e-05
pos shocked 1.658814942605003e-05
pos mcdonalds 1.1058766284033353e-05
pos congestion 2.7646915710083382e-05
pos boats 1.1058766284033353e-05
pos fancy 3.8705681994116735e-05
pos spirit 1.658814942605003e-05
pos plenty 0.0005363501647756176
pos resturants 3.317629885210006e-05
pos lag 1.1058766284033353e-05
pos travelodge 1.658814942605003e-05
pos excellet 1.1058766284033353e-05
pos convinence 1.1058766284033353e-05
pos guiding 1.1058766284033353e-05
pos carts 1.1058766284033353e-05
pos cutlery 4.423506513613341e-05
pos blue 1.658814942605003e-05
pos runs 1.658814942605003e-05
pos lobbies 1.1058766284033353e-05
pos arounf 1.1058766284033353e-05
pos accepted 3.317629885210006e-05
pos reasonably 0.0001382345785504169
pos everthing 1.658814942605003e-05
pos crazy 1.658814942605003e-05
pos respectable 1.1058766284033353e-05
pos noth 1.1058766284033353e-05
pos batch 1.1058766284033353e-05
pos daughter 0.000187999026828567
pos pleasure 7.18819808462168e-05
pos drinkie 1.1058766284033353e-05
pos inclined 1.1058766284033353e-05
pos perfecy 1.1058766284033353e-05
pos decent 0.0002875279233848672
pos suburb 1.1058766284033353e-05
pos flowers 9.952889655630017e-05
pos buckingham 4.423506513613341e-05
pos say 0.00010505827969831686
pos looked 0.0003649392873731007
pos tech 1.1058766284033353e-05
pos women 2.2117532568066706e-05
pos chef 6.082321456218344e-05
pos bakc 1.1058766284033353e-05
pos westminister 2.2117532568066706e-05
pos acsess 1.1058766284033353e-05
pos raised 1.1058766284033353e-05
pos cramped 7.18819808462168e-05
pos selecting 1.1058766284033353e-05
pos old 0.001028465264415102
pos son 9.39995134142835e-05
pos five 9.39995134142835e-05
pos fitments 1.658814942605003e-05
pos illness 1.1058766284033353e-05
pos adding 1.1058766284033353e-05
pos banners 1.1058766284033353e-05
pos institution 1.1058766284033353e-05
pos engaged 2.7646915710083382e-05
pos smiling 9.39995134142835e-05
pos widely 1.1058766284033353e-05
pos loving 1.658814942605003e-05
pos operator 1.1058766284033353e-05
pos gentle 1.1058766284033353e-05
pos oasis 1.658814942605003e-05
pos coziness 1.1058766284033353e-05
pos greatest 1.658814942605003e-05
pos chambermaids 1.1058766284033353e-05
pos valeria 1.1058766284033353e-05
pos game 1.658814942605003e-05
pos extends 1.1058766284033353e-05
pos aijaz 2.2117532568066706e-05
pos worth 0.00023223409196470042
pos jardin 1.1058766284033353e-05
pos pad 1.658814942605003e-05
pos glance 1.1058766284033353e-05
pos rub 1.1058766284033353e-05
pos seeing 0.00011611704598235021
pos replenished 2.7646915710083382e-05
pos coz 1.1058766284033353e-05
pos quit 2.2117532568066706e-05
pos arrival 0.0005529383142016676
pos svc 1.1058766284033353e-05
pos dirty 4.423506513613341e-05
pos regal 1.1058766284033353e-05
pos grotty 1.1058766284033353e-05
pos after 0.0007243491916041847
pos plus 0.00030411607281091723
pos las 1.1058766284033353e-05
pos knows 1.1058766284033353e-05
pos comfiness 1.1058766284033353e-05
pos blackbird 1.1058766284033353e-05
pos turning 1.1058766284033353e-05
pos explaining 2.2117532568066706e-05
pos becoming 1.1058766284033353e-05
pos mia 1.1058766284033353e-05
pos hubbub 1.1058766284033353e-05
pos buget 1.1058766284033353e-05
pos sentral 1.1058766284033353e-05
pos light 0.00018246964368655034
pos trap 1.658814942605003e-05
pos unfriendly 1.658814942605003e-05
pos steady 1.1058766284033353e-05
pos razvan 1.1058766284033353e-05
pos bathroom 0.002278105854510871
pos construction 8.294074713025015e-05
pos aspects 1.1058766284033353e-05
pos ans 1.1058766284033353e-05
pos maintained 0.00019905779311260035
pos week 0.00011058766284033353
pos resto 1.1058766284033353e-05
pos step 4.976444827815009e-05
pos capital 1.658814942605003e-05
pos badge 1.1058766284033353e-05
pos quietly 1.658814942605003e-05
pos moose 1.1058766284033353e-05
pos housekeeping 0.00017694026054453364
pos ioannis 1.1058766284033353e-05
pos marble 0.00011058766284033353
pos conceige 1.1058766284033353e-05
pos tate 2.7646915710083382e-05
pos marvellous 2.2117532568066706e-05
pos hour 0.00011058766284033353
pos alone 6.635259770420012e-05
pos sisters 1.1058766284033353e-05
pos noise 0.0002819985402428505
pos reviewers 2.7646915710083382e-05
pos dark 9.952889655630017e-05
pos furnished 0.00010505827969831686
pos frindey 1.1058766284033353e-05
pos equipment 4.423506513613341e-05
pos feeling 7.18819808462168e-05
pos research 1.1058766284033353e-05
pos amazed 1.1058766284033353e-05
pos fall 1.1058766284033353e-05
pos sealed 1.1058766284033353e-05
pos mad 1.1058766284033353e-05
pos wiped 1.1058766284033353e-05
pos till 3.317629885210006e-05
pos westminster 0.00041470373565125074
pos overdone 1.1058766284033353e-05
pos helpfil 1.1058766284033353e-05
pos gracious 2.7646915710083382e-05
pos originate 1.1058766284033353e-05
pos foreigner 1.1058766284033353e-05
pos please 8.847013027226682e-05
pos attendend 1.1058766284033353e-05
pos celebrating 9.39995134142835e-05
pos orchid 1.1058766284033353e-05
pos chinatown 1.1058766284033353e-05
pos assistance 5.5293831420166764e-05
pos diverse 2.2117532568066706e-05
pos decoration 0.0001437639616924336
pos showers 8.294074713025015e-05
pos prepare 2.2117532568066706e-05
pos stressful 1.658814942605003e-05
pos payment 3.8705681994116735e-05
pos sorting 2.2117532568066706e-05
pos upstairs 3.317629885210006e-05
pos small 0.0020071660805520536
pos pals 1.1058766284033353e-05
pos alternatives 1.1058766284033353e-05
pos plumbing 2.7646915710083382e-05
pos previously 1.658814942605003e-05
pos pearl 1.1058766284033353e-05
pos ment 1.1058766284033353e-05
pos magic 1.1058766284033353e-05
pos balcony 0.0002598810076747838
pos compimentary 1.1058766284033353e-05
pos dripping 1.1058766284033353e-05
pos knew 4.423506513613341e-05
pos unchanged 1.1058766284033353e-05
pos stops 0.00021564594253865039
pos include 2.2117532568066706e-05
pos fan 4.976444827815009e-05
pos keycard 1.1058766284033353e-05
pos nor 1.658814942605003e-05
pos cable 2.7646915710083382e-05
pos recompensed 1.1058766284033353e-05
pos videos 1.658814942605003e-05
pos dodgers 1.1058766284033353e-05
pos phone 0.00029305730652688384
pos helping 4.976444827815009e-05
pos amid 1.1058766284033353e-05
pos carpets 1.1058766284033353e-05
pos mother 4.976444827815009e-05
pos squares 1.1058766284033353e-05
pos cor 0.00010505827969831686
pos trully 1.1058766284033353e-05
pos risoto 1.1058766284033353e-05
pos e 8.847013027226682e-05
pos tacky 1.1058766284033353e-05
pos units 1.1058766284033353e-05
pos famous 2.2117532568066706e-05
pos telephone 1.658814942605003e-05
pos atmosfer 1.1058766284033353e-05
pos black 2.7646915710083382e-05
pos emailed 2.7646915710083382e-05
pos achieve 1.1058766284033353e-05
pos together 5.5293831420166764e-05
pos litterally 1.1058766284033353e-05
pos departments 2.7646915710083382e-05
pos angela 1.1058766284033353e-05
pos couch 3.317629885210006e-05
pos per 0.00013270519540840023
pos knees 1.1058766284033353e-05
pos incl 1.658814942605003e-05
pos fsmily 1.1058766284033353e-05
pos completed 2.2117532568066706e-05
pos nadia 1.1058766284033353e-05
pos boring 1.1058766284033353e-05
pos breckfast 1.1058766284033353e-05
pos use 0.0005529383142016676
pos contained 1.1058766284033353e-05
pos paintwork 1.1058766284033353e-05
pos proved 1.1058766284033353e-05
pos bought 3.8705681994116735e-05
pos professionalism 3.317629885210006e-05
pos jersey 1.1058766284033353e-05
pos heavy 1.658814942605003e-05
pos lock 1.1058766284033353e-05
pos magda 1.658814942605003e-05
pos tonthe 1.1058766284033353e-05
pos alternative 2.7646915710083382e-05
pos drawing 1.658814942605003e-05
pos galaxy 1.1058766284033353e-05
pos availability 3.8705681994116735e-05
pos eurostar 4.423506513613341e-05
pos approachable 4.423506513613341e-05
pos refrigeration 1.1058766284033353e-05
pos roh 1.1058766284033353e-05
pos return 0.00039258620308318406
pos allows 2.2117532568066706e-05
pos sensible 1.658814942605003e-05
pos norm 1.658814942605003e-05
pos attentive 0.000735407957888218
pos featured 1.1058766284033353e-05
pos carey 1.658814942605003e-05
pos italiano 1.1058766284033353e-05
pos exam 1.1058766284033353e-05
pos minus 1.1058766284033353e-05
pos metrostation 1.1058766284033353e-05
pos throughly 1.1058766284033353e-05
pos ending 1.1058766284033353e-05
pos sharing 3.317629885210006e-05
pos titanic 7.18819808462168e-05
pos hopefully 1.658814942605003e-05
pos role 1.1058766284033353e-05
pos ways 2.7646915710083382e-05
pos suggests 1.658814942605003e-05
pos followed 2.7646915710083382e-05
pos actress 1.658814942605003e-05
pos birthdaycard 1.1058766284033353e-05
pos speking 1.1058766284033353e-05
pos unobtrusive 1.658814942605003e-05
pos banging 1.1058766284033353e-05
pos lines 0.00018246964368655034
pos calling 3.317629885210006e-05
pos uground 1.1058766284033353e-05
pos landing 1.1058766284033353e-05
pos pots 1.658814942605003e-05
pos houskeeping 1.1058766284033353e-05
pos hammersmith 1.1058766284033353e-05
pos started 2.7646915710083382e-05
pos popcorn 1.658814942605003e-05
pos while 0.00023223409196470042
pos shard 0.00010505827969831686
pos waters 1.1058766284033353e-05
pos mitre 1.1058766284033353e-05
pos impressed 0.00013270519540840023
pos conditioned 1.658814942605003e-05
pos bush 1.1058766284033353e-05
pos shaving 1.658814942605003e-05
pos kindly 9.39995134142835e-05
pos eden 1.658814942605003e-05
pos memories 1.658814942605003e-05
pos splendour 1.658814942605003e-05
pos courtyard 0.00015482272797646694
pos neighborhood 0.00014929334483445027
pos french 5.5293831420166764e-05
pos smelt 1.658814942605003e-05
pos hail 1.658814942605003e-05
